 wf,hs,n0,h,hc,hb,v,d,c
      5.10,      6.07,   1201.00,      9.58,      6.41,      1.47,     99.10,     14.10,      0.82
      5.74,      6.08,   1201.00,     10.42,      6.72,      1.55,    119.66,     15.00,      0.90
      6.40,      6.08,   1201.00,     11.20,      7.02,      1.61,    140.80,     15.82,      0.98
      7.07,      6.09,   1201.00,     11.90,      7.30,      1.68,    162.16,     16.57,      1.06
      7.74,      6.09,   1201.00,     12.54,      7.57,      1.74,    183.44,     17.26,      1.14
      8.41,      6.10,   1201.00,     13.13,      7.83,      1.80,    204.39,     17.89,      1.22
      9.07,      6.10,   1201.00,     13.66,      8.06,      1.85,    224.82,     18.45,      1.30
      9.71,      6.11,   1201.00,     14.15,      8.29,      1.91,    244.57,     18.97,      1.37
     10.34,      6.12,   1201.00,     14.59,      8.50,      1.95,    263.55,     19.45,      1.44
     10.94,      6.12,   1201.00,     15.00,      8.69,      2.00,    281.69,     19.88,      1.51
     11.53,      6.13,   1201.00,     15.36,      8.88,      2.04,    298.94,     20.27,      1.57
